Country Name,Country Code,Year,"Personal remittances, received (% of GDP)","Unemployment, total (% of total labor force)",GDP (current US$)_x,GDP growth (annual %)_x,GDP (current US$)_y,GDP growth (annual %)_y
Aruba,ABW,1960,,,,,,
Africa Eastern and Southern,AFE,1960,,,21125015452,,21125015452,
Afghanistan,AFG,1960,,,537777811.1,,537777811.1,
Africa Western and Central,AFW,1960,,,10447637853,,10447637853,
Angola,AGO,1960,,,,,,
Albania,ALB,1960,,,,,,
Andorra,AND,1960,,,,,,
Arab World,ARB,1960,,,,,,
United Arab Emirates,ARE,1960,,,,,,
Argentina,ARG,1960,,,,,,
Armenia,ARM,1960,,,,,,
American Samoa,ASM,1960,,,,,,
Antigua and Barbuda,ATG,1960,,,,,,
Australia,AUS,1960,,,18606562979,,18606562979,
Austria,AUT,1960,,,6592693841,,6592693841,
Azerbaijan,AZE,1960,,,,,,
Burundi,BDI,1960,,,195999989.8,,195999989.8,
Belgium,BEL,1960,,,11658722591,,11658722591,
Benin,BEN,1960,,,226195578.1,,226195578.1,
Burkina Faso,BFA,1960,,,330442815.3,,330442815.3,
Bangladesh,BGD,1960,,,4274893913,,4274893913,
Bulgaria,BGR,1960,,,,,,
Bahrain,BHR,1960,,,,,,
"Bahamas, The",BHS,1960,,,169803921.6,,169803921.6,
Bosnia and Herzegovina,BIH,1960,,,,,,
Belarus,BLR,1960,,,,,,
Belize,BLZ,1960,,,28072478.06,,28072478.06,
Bermuda,BMU,1960,,,84466654.08,,84466654.08,
Bolivia,BOL,1960,,,377020202,,377020202,
Brazil,BRA,1960,,,17030465539,,17030465539,
Barbados,BRB,1960,,,,,,
Brunei Darussalam,BRN,1960,,,,,,
Bhutan,BTN,1960,,,,,,
Botswana,BWA,1960,,,30411418.68,,30411418.68,
Central African Republic,CAF,1960,,,112155598.3,,112155598.3,
Canada,CAN,1960,,,40462398502,,40462398502,
Central Europe and the Baltics,CEB,1960,,,,,,
Switzerland,CHE,1960,,,9522746880,,9522746880,
Channel Islands,CHI,1960,,,,,,
Chile,CHL,1960,,,4110000000,,4110000000,
China,CHN,1960,,,59716251765,,59716251765,
Cote d'Ivoire,CIV,1960,,,546203558.5,,546203558.5,
Cameroon,CMR,1960,,,614206067.5,,614206067.5,
"Congo, Dem. Rep.",COD,1960,,,3359404118,,3359404118,
"Congo, Rep.",COG,1960,,,131731862.6,,131731862.6,
Colombia,COL,1960,,,4031152977,,4031152977,
Comoros,COM,1960,,,,,,
Cabo Verde,CPV,1960,,,,,,
Costa Rica,CRI,1960,,,507513830,,507513830,
Caribbean small states,CSS,1960,,,1880325752,,1880325752,
Cuba,CUB,1960,,,,,,
Curacao,CUW,1960,,,,,,
Cayman Islands,CYM,1960,,,,,,
Cyprus,CYP,1960,,,,,,
Czechia,CZE,1960,,,,,,
Germany,DEU,1960,,,,,,
Djibouti,DJI,1960,,,,,,
Dominica,DMA,1960,,,,,,
Denmark,DNK,1960,,,,,,
Dominican Republic,DOM,1960,,,672399700,,672399700,
Algeria,DZA,1960,,,2723615449,,2723615449,
East Asia & Pacific (excluding high income),EAP,1960,,,81326348986,,81326348986,
Early-demographic dividend,EAR,1960,,,1.50325E+11,,1.50325E+11,
East Asia & Pacific,EAS,1960,,,1.54636E+11,,1.54636E+11,
Europe & Central Asia (excluding high income),ECA,1960,,,,,,
Europe & Central Asia,ECS,1960,,,,,,
Ecuador,ECU,1960,,,2069465326,,2069465326,
"Egypt, Arab Rep.",EGY,1960,,,,,,
Euro area,EMU,1960,,,2.44833E+11,,2.44833E+11,
Eritrea,ERI,1960,,,,,,
